participant_id,dataset,oracle,search,condition,task,time
partcipant51,movies,dziban,dfs,dziban_dfs,3. Prediction,348954
partcipant33,birdstrikes,dziban,bfs,dziban_bfs,4. Exploration,363301
partcipant11,birdstrikes,compassql,dfs,compassql_dfs,2. Retrieve Value,127336
partcipant55,movies,compassql,dfs,compassql_dfs,3. Prediction,1061322
partcipant42,birdstrikes,dziban,bfs,dziban_bfs,4. Exploration,749451
partcipant2,birdstrikes,compassql,bfs,compassql_bfs,3. Prediction,558253
partcipant43,movies,dziban,bfs,dziban_bfs,4. Exploration,493578
partcipant16,birdstrikes,dziban,dfs,dziban_dfs,1. Find Extremum,226503
partcipant37,movies,dziban,bfs,dziban_bfs,3. Prediction,732332
partcipant27,birdstrikes,dziban,bfs,dziban_bfs,4. Exploration,1045948
partcipant49,birdstrikes,compassql,bfs,compassql_bfs,2. Retrieve Value,193396
partcipant54,movies,dziban,dfs,dziban_dfs,4. Exploration,927655
partcipant3,birdstrikes,compassql,bfs,compassql_bfs,2. Retrieve Value,157941
partcipant53,movies,dziban,dfs,dziban_dfs,1. Find Extremum,131910
partcipant52,birdstrikes,dziban,bfs,dziban_bfs,2. Retrieve Value,380652
partcipant9,movies,dziban,bfs,dziban_bfs,4. Exploration,829866
partcipant44,movies,dziban,bfs,dziban_bfs,1. Find Extremum,378562
partcipant32,movies,compassql,bfs,compassql_bfs,2. Retrieve Value,522845
partcipant48,birdstrikes,compassql,bfs,compassql_bfs,3. Prediction,614957
partcipant14,movies,compassql,dfs,compassql_dfs,4. Exploration,630240
