participant_id,dataset,oracle,search,condition,task,task_type,time
partcipant59,movies,compassql,bfs,compassql_bfs,4. Exploration,Open-Ended,541348
partcipant49,birdstrikes,compassql,bfs,compassql_bfs,3. Prediction,Open-Ended,289783
partcipant2,birdstrikes,compassql,bfs,compassql_bfs,2. Retrieve Value,Focused,182050
partcipant24,movies,compassql,bfs,compassql_bfs,1. Find Extremum,Focused,212961
partcipant50,birdstrikes,compassql,dfs,compassql_dfs,4. Exploration,Open-Ended,523348
partcipant32,movies,compassql,bfs,compassql_bfs,3. Prediction,Open-Ended,427959
partcipant48,birdstrikes,compassql,bfs,compassql_bfs,2. Retrieve Value,Focused,213068
partcipant26,birdstrikes,dziban,bfs,dziban_bfs,4. Exploration,Open-Ended,568648
partcipant4,movies,compassql,dfs,compassql_dfs,4. Exploration,Open-Ended,949550
partcipant12,movies,compassql,dfs,compassql_dfs,1. Find Extremum,Focused,774624
partcipant3,birdstrikes,compassql,bfs,compassql_bfs,3. Prediction,Open-Ended,555236
partcipant31,birdstrikes,dziban,dfs,dziban_dfs,4. Exploration,Open-Ended,376334
partcipant30,movies,dziban,dfs,dziban_dfs,4. Exploration,Open-Ended,722775
partcipant52,birdstrikes,dziban,bfs,dziban_bfs,3. Prediction,Open-Ended,780384
partcipant20,birdstrikes,compassql,dfs,compassql_dfs,2. Retrieve Value,Focused,170561
partcipant39,movies,compassql,bfs,compassql_bfs,4. Exploration,Open-Ended,907191
partcipant13,birdstrikes,dziban,bfs,dziban_bfs,3. Prediction,Open-Ended,382749
partcipant11,birdstrikes,compassql,dfs,compassql_dfs,4. Exploration,Open-Ended,878045
partcipant33,birdstrikes,dziban,bfs,dziban_bfs,2. Retrieve Value,Focused,385035
partcipant47,movies,dziban,bfs,dziban_bfs,4. Exploration,Open-Ended,802248
partcipant29,movies,compassql,bfs,compassql_bfs,2. Retrieve Value,Focused,246990
partcipant25,birdstrikes,dziban,dfs,dziban_dfs,3. Prediction,Open-Ended,476703
partcipant34,birdstrikes,dziban,dfs,dziban_dfs,4. Exploration,Open-Ended,632996
partcipant17,movies,compassql,dfs,compassql_dfs,1. Find Extremum,Focused,158680
partcipant28,birdstrikes,compassql,bfs,compassql_bfs,2. Retrieve Value,Focused,238401
partcipant21,birdstrikes,compassql,dfs,compassql_dfs,3. Prediction,Open-Ended,1229062
partcipant22,movies,dziban,bfs,dziban_bfs,4. Exploration,Open-Ended,956825
