participant_id,participant_group,dataset,oracle,search,task,confidence-udata,confidence-ans,efficiency,ease-of-use,utility,overall
stu3,student,movies,compassql,dfs,3. Prediction,1,1,1,1,1,1
pro13,professional,movies,compassql,bfs,1. Find Extremum,1,2,-1,1,-1,1
pro10,professional,birdstrikes,dziban,dfs,2. Retrieve Value,1,2,-1,1,-1,0
stu13,student,movies,compassql,dfs,4. Exploration,2,1,0,1,0,1
pro5,professional,movies,dziban,dfs,2. Retrieve Value,1,1,1,2,2,1
stu17,student,movies,compassql,bfs,4. Exploration,2,2,2,2,2,1
pro7,professional,birdstrikes,dziban,bfs,4. Exploration,1,1,2,1,1,1
pro2,professional,birdstrikes,compassql,bfs,4. Exploration,1,1,1,1,1,1
stu25,student,movies,compassql,bfs,3. Prediction,1,1,2,2,2,2
pro17,professional,movies,compassql,bfs,4. Exploration,0,1,-1,1,-1,-2
pro22,professional,movies,dziban,bfs,1. Find Extremum,1,1,1,1,1,1
pro23,professional,movies,compassql,dfs,1. Find Extremum,-1,1,-2,-1,-1,-1
stu36,student,movies,dziban,dfs,2. Retrieve Value,2,2,2,2,2,2
pro4,professional,birdstrikes,compassql,bfs,3. Prediction,2,1,2,1,1,1
pro19,professional,birdstrikes,compassql,dfs,1. Find Extremum,1,2,-2,-1,-2,-1
stu18,student,birdstrikes,dziban,bfs,1. Find Extremum,1,1,1,0,-1,0
pro8,professional,movies,compassql,dfs,4. Exploration,1,1,-1,1,0,0
stu4,student,movies,dziban,bfs,4. Exploration,2,2,0,1,1,1
pro2,professional,birdstrikes,compassql,bfs,1. Find Extremum,1,1,1,0,1,1
pro7,professional,birdstrikes,dziban,bfs,1. Find Extremum,1,1,0,0,1,1
stu33,student,birdstrikes,compassql,bfs,3. Prediction,1,2,0,1,2,2
pro11,professional,birdstrikes,compassql,dfs,2. Retrieve Value,1,1,-1,0,-1,0
pro17,professional,movies,compassql,bfs,1. Find Extremum,0,2,1,1,2,0
pro25,professional,movies,compassql,dfs,3. Prediction,1,1,2,1,1,1
pro14,professional,birdstrikes,dziban,dfs,2. Retrieve Value,1,1,-1,-1,0,0
pro13,professional,movies,compassql,bfs,4. Exploration,1,0,-1,-1,-1,0
stu28,student,birdstrikes,dziban,bfs,1. Find Extremum,0,2,1,2,2,-2
stu17,student,movies,compassql,bfs,1. Find Extremum,2,-2,2,-1,1,1
stu13,student,movies,compassql,dfs,1. Find Extremum,1,1,1,1,1,1
stu21,student,movies,compassql,bfs,3. Prediction,0,0,1,1,0,0
stu9,student,birdstrikes,compassql,dfs,3. Prediction,1,1,0,0,0,1
stu4,student,movies,dziban,bfs,1. Find Extremum,2,2,0,1,0,0
pro8,professional,movies,compassql,dfs,1. Find Extremum,-1,-1,0,0,-1,0
stu18,student,birdstrikes,dziban,bfs,4. Exploration,2,1,2,2,2,2
pro23,professional,movies,compassql,dfs,4. Exploration,2,1,-2,1,-2,-1
pro22,professional,movies,dziban,bfs,4. Exploration,1,1,2,1,2,1
stu20,student,birdstrikes,dziban,dfs,2. Retrieve Value,0,0,0,1,0,0
pro19,professional,birdstrikes,compassql,dfs,4. Exploration,1,1,0,0,1,0
pro21,professional,movies,dziban,bfs,3. Prediction,0,1,2,1,2,1
pro6,professional,birdstrikes,dziban,bfs,4. Exploration,2,2,1,0,1,1
stu14,student,birdstrikes,compassql,dfs,2. Retrieve Value,0,1,-2,-1,-1,0
