participant_id,participant_group,dataset,oracle,search,task,completion_time
stu20,student,birdstrikes,dziban,dfs,1. Find Extremum,169.197
stu20,student,birdstrikes,dziban,dfs,2. Retrieve Value,150.188
stu20,student,birdstrikes,dziban,dfs,3. Prediction,390.969
stu20,student,birdstrikes,dziban,dfs,4. Exploration,376.334
stu21,student,movies,compassql,bfs,1. Find Extremum,210.676
stu21,student,movies,compassql,bfs,2. Retrieve Value,522.845
stu21,student,movies,compassql,bfs,3. Prediction,427.959
stu21,student,movies,compassql,bfs,4. Exploration,762.361
stu22,student,birdstrikes,dziban,bfs,1. Find Extremum,316.352
stu22,student,birdstrikes,dziban,bfs,2. Retrieve Value,385.035
stu22,student,birdstrikes,dziban,bfs,3. Prediction,610.181
stu22,student,birdstrikes,dziban,bfs,4. Exploration,363.301
stu23,student,birdstrikes,dziban,dfs,1. Find Extremum,274.496
stu23,student,birdstrikes,dziban,dfs,2. Retrieve Value,317.898
stu23,student,birdstrikes,dziban,dfs,3. Prediction,353.005
stu23,student,birdstrikes,dziban,dfs,4. Exploration,632.996
stu24,student,movies,compassql,bfs,1. Find Extremum,118.354
stu24,student,movies,compassql,bfs,2. Retrieve Value,91.089
stu24,student,movies,compassql,bfs,3. Prediction,325.284
stu24,student,movies,compassql,bfs,4. Exploration,440.362
stu25,student,movies,compassql,bfs,1. Find Extremum,289.185
stu25,student,movies,compassql,bfs,2. Retrieve Value,156.638
stu25,student,movies,compassql,bfs,3. Prediction,548.43
stu25,student,movies,compassql,bfs,4. Exploration,859.345
stu26,student,movies,compassql,bfs,1. Find Extremum,223.658
stu26,student,movies,compassql,bfs,2. Retrieve Value,158.165
stu26,student,movies,compassql,bfs,3. Prediction,745.93
stu26,student,movies,compassql,bfs,4. Exploration,907.191
stu27,student,birdstrikes,dziban,dfs,1. Find Extremum,235.069
stu27,student,birdstrikes,dziban,dfs,2. Retrieve Value,241.323
stu27,student,birdstrikes,dziban,dfs,3. Prediction,1401.57
stu27,student,birdstrikes,dziban,dfs,4. Exploration,821.641
stu28,student,birdstrikes,dziban,bfs,1. Find Extremum,185.373
stu28,student,birdstrikes,dziban,bfs,2. Retrieve Value,212.966
stu28,student,birdstrikes,dziban,bfs,3. Prediction,654.838
stu28,student,birdstrikes,dziban,bfs,4. Exploration,749.451
stu29,student,movies,dziban,bfs,1. Find Extremum,76.532
